scorer,,,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi,Nyomi
individuals,,,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4,individual4
bodyparts,,,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow,head,head,LHand,LHand,RHand,RHand,LKnee,LKnee,RKnee,RKnee,LHeel,LHeel,RHeel,RHeel,LHip,LHip,RHip,RHip,LShoulder,LShoulder,RShoulder,RShoulder,LElbow,LElbow,RElbow,RElbow
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,pool2,img006.png,,,866.7378077343465,813.2176703273825,,,,,,,,,,,1469.03000572529,809.0205121532296,,,1164.7360380992036,611.7540779680425,1108.0744027481392,632.7398688388071,1087.0886118773747,850.9920938947587,,,,,,,904.5122313017227,699.8943996252538,1141.6516681413625,976.9068391193463,,,,,,,1250.7777806693384,809.0205121532296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,pool2,img038.png,795.3861187737468,464.85354187269036,470.1063602768958,597.0640243585073,,,1666.2964399104771,857.2878311559881,1103.8772445739862,939.1324155519701,,,,,1288.5522042367145,649.5285015354187,,,931.7937594337166,513.1208608754489,,,679.9642689845416,582.373970748972,740.823062509759,624.3455524905012,,,,,814.273330557435,714.584453234789,,,,,1364.101051371467,567.6839171394367,1416.5655285483786,517.3180190496018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,pool2,img045.png,449.1205694061312,254.9956331650444,88.16496642898039,370.41748295424964,195.19249986987978,414.48764378285534,1267.56641336595,517.3180190496018,1057.708504658304,722.9787695830947,1588.6490136886482,490.0364909176078,1233.9891479727266,934.9352573778172,894.0193358663403,401.8961692603965,,,520.4722583667308,296.96721490657364,,,277.03708426586167,359.9245875188674,390.3603549679904,406.09332743454945,,,631.6969499817831,500.52938635299006,,,1267.56641336595,601.2611825326601,,,1259.172097017644,445.9663300890022,1269.6649924530263,408.1919065216259,,,,,,,,,772.3017488159057,511.0222817883724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,pool2,img064.png,,,,,,,789.0903815125175,208.82689324936223,803.7804351220527,267.58710768750313,,,1091.2857700515274,187.84110237859772,386.16319679383747,145.8695206370685,,,62.982017384062885,173.15104876906253,,,,,,,709.344376203612,424.9805392182376,856.2449122989642,594.9654452714308,,,1173.1303544475093,448.0649091760787,1187.8204080570445,494.23364909176075,1359.9038931973141,366.2203247800967,1236.087727059803,296.96721490657364,959.0752875657106,479.54359548222556,,,772.3017488159057,496.3322281788372,,,885.6250195180346,492.1350700046843,898.2164940404932,448.0649091760787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,pool2,img067.png,,,,,,,784.8932233383646,154.26383698537438,789.0903815125175,221.41836777182107,,,,,373.57172227137875,112.29225524384515,,,56.68628012283352,126.98230885338035,,,,,,,738.7244834226824,372.5160620413261,885.6250195180346,557.1910217040545,,,1198.313303492427,420.78338104408465,,,1288.5522042367145,219.3197886847447,1355.7067350231612,301.1643730807265,977.9624993493987,433.3748555665434,,,789.0903815125175,445.9663300890022,,,900.3150731275698,448.0649091760787,917.1037058241814,403.994748347473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
labeled-data,pool2,img094.png,228.76976526310312,196.23541872690362,455.41630666736063,439.6705928277728,577.1338937177952,439.6705928277728,866.7378077343465,429.17769739239054,,,1154.2431426638211,246.60131681673852,1156.3417217508977,338.93879664810277,537.2608910633426,259.19279133919736,,,205.68539530526203,271.7842658616561,,,310.614349659085,307.4601103419559,,,1047.2156092229218,462.7549627856139,1296.9465205850204,567.6839171394367,,,1504.7058502055897,485.83933274345486,,,1546.677431947119,280.178582209962,1651.606386300942,341.03737573517924,1273.8621506271793,517.3180190496018,,,1091.2857700515274,540.4023890074428,,,1183.6232498828917,502.62796544006653,1194.116145318274,456.45922552438446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
